customer_name,contact,booking_date,start_time,duration_hours,booking_type,companion_count,camera_requested,standard_price,price_adjustment,final_price,deposit_paid,status,notes
08/11 14:00-15:00-A,08/11 14:00-15:00-A,2026-08-11,14:00,1,SINGLE,0,FALSE,78,0,78,39,CONFIRMED,原表：定金39
08/11 14:00-15:00-B,08/11 14:00-15:00-B,2026-08-11,14:00,1,SINGLE,0,FALSE,78,0,78,39,CONFIRMED,原表：定金39
08/11 15:00-17:00,08/11 15:00-17:00,2026-08-11,15:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130
08/11 15:00-16:00,08/11 15:00-16:00,2026-08-11,15:00,1,SINGLE,1,FALSE,108,0,108,39,CONFIRMED,原表：定金39，尾款69
08/11 16:00-17:00,08/11 16:00-17:00,2026-08-11,16:00,1,SINGLE,1,FALSE,108,0,108,54,CONFIRMED,原表：定金54
08/11 17:00-19:00,08/11 17:00-19:00,2026-08-11,17:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130
08/11 17:00-18:00,08/11 17:00-18:00,2026-08-11,17:00,1,SINGLE,0,FALSE,78,30,108,54,CONFIRMED,原表：定金付54
08/11 18:00-21:00,08/11 18:00-21:00,2026-08-11,18:00,3,SINGLE,1,FALSE,232.5,0,232.5,116.5,CONFIRMED,原表：定金116.5，尾款116
08/11 19:00-20:00,08/11 19:00-20:00,2026-08-11,19:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：已收定金67.5，到店67.5
08/12 16:00-18:00,08/12 16:00-18:00,2026-08-12,16:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130，尾款130
08/12 16:00-17:00,08/12 16:00-17:00,2026-08-12,16:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：定金67.5
08/12 17:00-18:00,08/12 17:00-18:00,2026-08-12,17:00,1,SINGLE,1,FALSE,108,0,108,54,CONFIRMED,原表：定金54，尾款54
08/12 18:00-19:00,08/12 18:00-19:00,2026-08-12,18:00,1,PRIVATE,0,FALSE,299,0,299,150,CONFIRMED,原表：包场，定金150，到店付149；原表人数1+1，包场按整场处理
08/12 19:00-20:00,08/12 19:00-20:00,2026-08-12,19:00,1,DOUBLE,0,FALSE,135,-5,130,65,CONFIRMED,原表：定金65
08/12 19:00-21:00,08/12 19:00-21:00,2026-08-12,19:00,2,SINGLE,1,FALSE,165,0,165,82.5,CONFIRMED,原表：定金82.5
08/13 16:00-18:00-A,08/13 16:00-18:00-A,2026-08-13,16:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130，尾款130
08/13 16:00-18:00-B,08/13 16:00-18:00-B,2026-08-13,16:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130
08/13 19:00-21:00,08/13 19:00-21:00,2026-08-13,19:00,2,DOUBLE,0,FALSE,260,0,260,130,CONFIRMED,原表：已收定金130，尾款130
08/13 20:00-21:00,08/13 20:00-21:00,2026-08-13,20:00,1,DOUBLE,0,FALSE,135,0,135,67.5,CONFIRMED,原表：已收定金67.5
08/13 14:00-16:00,08/13 14:00-16:00,2026-08-13,14:00,2,TRIPLE,0,FALSE,390,0,390,195,CONFIRMED,原表：定金195
08/13 15:00-16:00,08/13 15:00-16:00,2026-08-13,15:00,1,SINGLE,1,FALSE,108,0,108,54,CONFIRMED,原表：定金54
08/14 12:00-13:00,08/14 12:00-13:00,2026-08-14,12:00,1,SINGLE,1,FALSE,128,0,128,64,CONFIRMED,原表：已收定金64
08/14 14:00-15:00-A,08/14 14:00-15:00-A,2026-08-14,14:00,1,DOUBLE,0,FALSE,150,0,150,75,CONFIRMED,原表：已付定金75
08/14 14:00-15:00-B,08/14 14:00-15:00-B,2026-08-14,14:00,1,SINGLE,1,FALSE,128,0,128,64,CONFIRMED,原表：定金64
08/15 11:00-13:00,08/15 11:00-13:00,2026-08-15,11:00,2,SINGLE,0,FALSE,150,70,220,110,CONFIRMED,原表：定金110
08/15 15:00-16:00,08/15 15:00-16:00,2026-08-15,15:00,1,SINGLE,1,FALSE,128,0,128,64,CONFIRMED,原表：定金64
08/15 16:00-17:00-A,08/15 16:00-17:00-A,2026-08-15,16:00,1,SINGLE,1,FALSE,128,0,128,64,CONFIRMED,原表：已收定金64
08/15 16:00-17:00-B,08/15 16:00-17:00-B,2026-08-15,16:00,1,SINGLE,0,FALSE,88,0,88,44,CONFIRMED,原表：定金44
